p257_001|Please call Stella.
p257_002|Ask her to bring these things with her from the store.
p257_003|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
p257_004|We also need a small plastic snake and a big toy frog for the kids.
p257_006|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
p257_007|The rainbow is a division of white light into many beautiful colors.
p257_008|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
p257_009|There is , according to legend, a boiling pot of gold at one end.
p257_010|People look, but no one ever finds it.
p257_011|When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
p257_012|Throughout the centuries people have explained the rainbow in various ways.
p257_013|Some have accepted it as a miracle without physical explanation.
p257_014|To the Hebrews it was a token that there would be no more universal floods.
p257_015|The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
p257_016|The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.
p257_017|Others have tried to explain the phenomenon physically.
p257_018|Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
p257_019|Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.
p257_020|Many complicated ideas about the rainbow have been formed.
p257_022|The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
p257_023|If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.
p257_024|This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.
p257_025|We have to pull together, or we will hang apart.
p257_026|Is this accurate?
p257_027|They should have a major rethink about the event for next year.
p257_028|Because we do not need it.
p257_029|Life was like a timetable.
p257_030|Other members of the family were too upset to comment last night.
p257_031|It was clear.
p257_032|Clark was desperate to return to the House of Commons.
p257_033|I came to complete.
p257_034|President Bush is at war.
p257_035|Of course, on Tuesday, United were beaten despite this.
p257_036|I was scared.
p257_037|It was ugly.
p257_038|It is great to have this beautiful new site in wonderful countryside.
p257_039|It's easy to talk about these things in the abstract.
p257_040|The Dutchman was in time to see the breakthrough.
p257_041|A neighbour said.
p257_042|We need to chat.
p257_043|The boy is no longer with us.
p257_044|I hate the word.
p257_045|That should do it.
p257_046|It's a blessing.
p257_047|The whole of southern Africa is in the grip of Aids.
p257_048|As she explains.
p257_049|Yesterday, he had a chilling warning for the game in Scotland.
p257_050|He had no enemies.
p257_051|I got a great response from the players, as I had expected.
p257_052|But the law is very clear on this.
p257_053|For the meantime, though, the signs are good.
p257_054|We were surprised to see the photograph.
p257_055|Next league matches Celtic.
p257_056|It's very odd.
p257_057|The story was first reported in the Spectator magazine.
p257_058|It is not great art.
p257_059|George Robertson described the plan as an outrageous and disgraceful decision.
p257_060|There was a battle there.
p257_061|Scotland had great assets.
p257_062|There will be tough opponents to this report.
p257_063|Have a look at our accounts.
p257_064|Sounds like The Sixth Sense?
p257_065|There is an element of racism in Scotland.
p257_066|I was just trying to win the golf tournament.
p257_067|It's all I can do.
