ID	音频	转写结果	标注文本	CER(%)
0	pos/cmd_0.wav	空调开到制热， 调到二十五度， 风量调到百分之三十。	空调开到制热调到二十五度风量调到百分之三十	0.00
1	pos/cmd_1.wav	灯光亮度调到百分之三十。	灯光亮度调到百分之三十	0.00
2	pos/cmd_2.wav	洗碗机暂停工作。	洗碗机暂停工作	0.00
3	pos/cmd_3.wav	所有灯光调到百分之五十。	所有灯光调到百分之五十	0.00
4	pos/cmd_4.wav	音乐的声音小一点。	音乐的声音小一点	0.00
5	pos/cmd_5.wav	打开回家模式吧。	打开回家模式吧	0.00
6	pos/cmd_6.wav	播放权志龙的歌。	播放权志龙的歌	0.00
7	pos/cmd_7.wav	我要出门了。	我要出门了	0.00
8	pos/cmd_8.wav	拉起窗帘。	拉起窗帘	0.00
9	pos/cmd_9.wav	元宵节灯会什么时候？	元宵节灯会什么时候	0.00
10	pos/cmd_10.wav	关闭悬浮空调。	关闭悬浮空调	0.00
11	pos/cmd_11.wav	从医院回来的衣服。	从医院回来的衣服	0.00
12	pos/cmd_12.wav	关闭客厅空调。	关闭客厅空调	0.00
13	pos/cmd_13.wav	我要洗衣服。	打开洗衣服	40.00
14	pos/cmd_14.wav	空调二十六度， 风速最大，	空调二十六度风速最大	0.00
15	pos/cmd_15.wav	关掉顶灯。	关掉顶灯	0.00
16	pos/cmd_16.wav	帮我做一个闹钟。	帮我做一个闹钟	0.00
17	pos/cmd_17.wav	打开卷帘门呃， 不卷帘。	打开卷帘门呃不卷帘	0.00
18	pos/cmd_18.wav	关闭灯光。	关闭灯光	0.00
19	pos/cmd_19.wav	我要吃我要我要， 我要准备做饭。	我要吃我要我要我要准备做饭	0.00
20	pos/cmd_20.wav	客厅灯的色温调到最暖， 关闭窗， 关闭客厅窗帘， 关闭客厅空调。	客厅灯的色温调到最暖关闭窗关闭客厅窗帘关闭客厅空调	0.00
21	pos/cmd_21.wav	把温度调到三十度， 风量调到百分之六十。	把温度调到三十度风量调到百分之六十	0.00
22	pos/cmd_22.wav	打开风干，	打开烘干	25.00
23	pos/cmd_23.wav	我准备做饭了。	我准备做饭了	0.00
24	pos/cmd_24.wav	关灯， 关空调， 打开窗帘。	关灯关空调打开窗帘	0.00
25	pos/cmd_25.wav	打开洗衣机。	打开四G	75.00
26	pos/cmd_26.wav	啊， 把空调关了。	啊把空调关了	0.00
27	pos/cmd_27.wav	打开闹钟。	打开闹钟	0.00
28	pos/cmd_28.wav	客厅灯的色温调为冷色。	客厅灯的色温调为冷色	0.00
29	pos/cmd_29.wav	心脏灯的色温调到最冷， 亮度调到最亮。	心脏灯的色温调到最冷亮度调到最亮	0.00
30	pos/cmd_30.wav	打开窗电电机。	打开窗帘烟机	33.33
31	pos/cmd_31.wav	把前厅的灯光调到百分之百亮度。	把前厅的灯光调到百分之百亮度	0.00
32	pos/cmd_32.wav	lady gaga 最新的专辑叫什么？	LADY GAGA最新的专辑叫什么	0.00
33	pos/cmd_33.wav	这一年， 我从直播小白到第一次谈相机去懵逼拍。	这一年我从直播小白到第一次扛相机去工地拍	15.00
34	pos/cmd_34.wav	日光模式。	日光模式	0.00
35	pos/cmd_35.wav	关掉音乐。	关掉音乐	0.00
36	pos/cmd_36.wav	开启客厅灯光。	开启客厅灯光	0.00
37	pos/cmd_37.wav	嗯， 打开油烟机。	嗯打开油烟机	0.00
38	pos/cmd_38.wav	我要做饭了， 然后它自动降下嗯。	我要做饭了然后它就自动降下	15.38
39	pos/cmd_39.wav	打开客厅空调。	打开客厅空调	0.00
40	pos/cmd_40.wav	关闭氛围灯。	关闭氛围灯	0.00
41	pos/cmd_41.wav	室内有点暗调亮一点。	室内有点暗调亮一点	0.00
42	pos/cmd_42.wav	帮我预约十四点。	帮我预约十四点	0.00
43	pos/cmd_43.wav	灯光有点暗。	灯光有点暗	0.00
44	pos/cmd_44.wav	我想看电影。	我想看电影	0.00
45	pos/cmd_45.wav	关闭窗帘。	关闭纱帘	25.00
46	pos/cmd_46.wav	放周杰伦的歌，	放周杰伦的歌	0.00
47	pos/cmd_47.wav	把空调温度调到二十八度。	把空调温度调到二十八度	0.00
48	pos/cmd_48.wav	灯光亮度调到最高。	灯光亮度调到最高	0.00
49	pos/cmd_49.wav	延接下降。	烟机下降	50.00
50	pos/cmd_50.wav	跟着色温调到一千。	灯的色温调到五千	37.50
51	pos/cmd_51.wav	你好喝吗？ 我要烘羊毛， 我要洗衬衫， 我要冲冲锋衣。	你好科慕你好科慕	225.00
52	pos/cmd_52.wav	空调换气，	空调换气	0.00
53	pos/cmd_53.wav	权志龙最新的歌专辑叫什么名字？	权志龙最新的歌专辑叫什么名字	0.00
54	pos/cmd_54.wav	我要吃饭。	我要吃饭	0.00
55	pos/cmd_55.wav	打开烟机， 打开洗衣模式。 打开新风模式。	打开烟机打开洗衣模式打开新风模式	0.00
56	pos/cmd_56.wav	羊绒大衣要怎么洗？	羊绒大衣要怎么洗	0.00
57	pos/cmd_57.wav	空调调为十二度。	空调调为十二度	0.00
58	pos/cmd_58.wav	我要休， 我要睡觉了。	我要休息我要睡觉了	11.11
59	pos/cmd_59.wav	关闭顶灯。	关闭顶灯	0.00
60	pos/cmd_60.wav	打开全 MPPT。	打开chatgpt	55.56
61	pos/cmd_61.wav	打开客厅， 空调温度调整到二十三， 最低风速。 打开窗帘，	打开客厅空调温度调整到二十三最低风速打开窗帘	0.00
62	pos/cmd_62.wav	风速最低，	风速最低	0.00
63	pos/cmd_63.wav	所有灯光打开，	所有灯光打开	0.00
64	pos/cmd_64.wav	取消湖兰烤箱。	取消勃朗烤箱	33.33
65	pos/cmd_65.wav	我回家了。	我回家啦	25.00
66	pos/cmd_66.wav	油烟机打开。	油烟机打开	0.00
67	pos/cmd_67.wav	备餐模式。	备餐模式	0.00
68	pos/cmd_68.wav	嵌入式饮水机，	嵌入式饮水机	0.00
69	pos/cmd_69.wav	恢复，	恢复	0.00
70	pos/cmd_70.wav	我要用餐了。	我要用餐了	0.00
71	pos/cmd_71.wav	把所有灯光调到亮度调到百分之一百。	把所有灯光调到亮度调到百分之一百	0.00
72	pos/cmd_72.wav	关闭冰箱。	关闭冰箱	0.00
73	pos/cmd_73.wav	关掉油烟机。	关掉油烟机	0.00
74	pos/cmd_74.wav	灯的室温调暖一点， 空调温度调低一点， 关闭窗帘。	灯的色温调暖一点空调温度调低一点关闭窗帘	5.00
75	pos/cmd_75.wav	哎， 这个怎么没通电哈？	哎这个怎么没通电哈	0.00
76	pos/cmd_76.wav	打开客厅所有灯。	打开客厅所有灯	0.00
77	pos/cmd_77.wav	打开厨房，	打开厨房	0.00
78	pos/cmd_78.wav	我要吃饭了。 OK。	我要吃饭了啊不对	37.50
79	pos/cmd_79.wav	关掉客厅灯光。	关掉客厅灯光	0.00
80	pos/cmd_80.wav	打开唯一唤醒。	打开唯一唤醒	0.00
81	pos/cmd_81.wav	声音大一点。	声音大一点	0.00
82	pos/cmd_82.wav	恢复日常模式。	恢复日常模式	0.00
83	pos/cmd_83.wav	关掉客厅的灯。	关掉客厅的灯	0.00
84	pos/cmd_84.wav	室内有点暗调亮一点， 然后把窗帘开到最大。	室内有点暗调亮一点然后把窗帘开到最大	0.00
85	pos/cmd_85.wav	取消闹钟。	取消闹钟	0.00
86	pos/cmd_86.wav	怎么打开无风感？	怎么打开无风感	0.00
87	pos/cmd_87.wav	昨天刚换的那个屏，	座椅感化那个屏	71.43
