ID	识别结果	参考文本
IC0936W0001	第 六 十 一 集	第六十一集
IC0936W0002	第 六 十 二 集	第六十二集
IC0936W0003	第 六 十 三 集	第六十三集
IC0936W0004	第 六 十 四 集	第六十四集
IC0936W0005	第 六 十 五 集	第六十五集
IC0936W0006	一 分 利 师 傅	一分利食府
IC0936W0007	回 民 公 墓	回民公墓
IC0936W0008	中 国 人 民 保 险 集 团 股 份 有 限 公 司 闽 宁 营 销 服 务 部	中国人民保险集团股份有限公司闽宁营销服务部
IC0936W0009	闽 宁 镇 卫 生 院	闽宁镇卫生院
IC0936W0010	中 国 电 信 闽 宁 镇 合 作 营 业 厅	中国电信闽宁镇合作营业厅
IC0936W0011	闽 宁 镇 客 运 站	闽宁镇客运站
IC0936W0012	永 宁 县 闽 宁 镇 幼 儿 园	永宁县闽宁镇幼儿园
IC0936W0013	永 宁 县 闽 宁 中 心 小 学	永宁县闽宁中心小学
IC0936W0014	闽 宁 镇 人 民 政 府	闽宁镇人民政府
IC0936W0015	永 宁 县 人 民 检 察 院 闽 宁 工 作 站	永宁县人民检察院闽宁工作站
IC0936W0016	中 共 闽 宁 镇 纪 律 检 查 委 员 会	中共闽宁镇纪律检查委员会
IC0936W0017	辉 河 村 村 民 活 动 中 心	灰河村村民活动中心
IC0936W0018	普 济 区 学 校	普济圩学校
IC0936W0019	普 济 区 医 院	普济圩医院
IC0936W0020	华 艺 超 市 方 庄 店	华亿超市方庄店
IC0936W0021	聚 碧 湾 饭 店	聚碧湾饭店
IC0936W0022	奥 山 小 学	坳山小学
IC0936W0023	中 国 信 合 光 合 信 用 社	中国信合关河信用社
IC0936W0024	盐 桥 眉 山 文 武 学 校	严桥梅山文武学校
IC0936W0025	无 为 县 闫 桥 初 级 中 学	无为县严桥初级中学
IC0936W0026	向 阳 小 学	向阳小学
IC0936W0027	闫 桥 镇 财 财 政 所	严桥镇蚕财政所
IC0936W0028	盐 桥 计 划 生 育 服 务 所	严桥计划生育服务所
IC0936W0029	盐 桥 卫 生 所	严桥卫生所
IC0936W0030	合 格 村 卫 生 室	合格村卫生室
IC0936W0031	羊 王 浴 室	杨王浴室
IC0936W0032	新 瑞 浴 场	鑫瑞浴场
IC0936W0033	国 荣 网 吧	国荣网吧
IC0936W0034	博 客 网 吧	博客网吧
IC0936W0035	大 圣 山 庄 浴 室	大圣山庄浴室
IC0936W0036	三 万 英 尺	三万英尺
IC0936W0037	老 地 方 的 雨	老地方的雨
IC0936W0038	流 畅	流畅
IC0936W0039	三 天 三 夜	三天三夜
IC0936W0040	怒 放 的 生 命	怒放的生命
IC0936W0041	来 一 首 对 面 的 女 孩 看 过 来	来一首对面的女孩看过来
IC0936W0042	听 音 乐 听 音 乐	听音乐听音乐
IC0936W0043	黎 明 呀	黎明呀
IC0936W0044	来 一 首 三 天 三 夜	来一首三天三夜
IC0936W0045	听 一 首 林 宥 嘉 的 想 自 由	听一首林宥嘉的想自由
IC0936W0046	苏 菲 玛 索	苏菲玛索
IC0936W0047	许 多 年 以 后	许多年以后
IC0936W0048	陈 奕 迅 十 年	陈奕迅十年
IC0936W0049	带 我 到 山 顶	带我到山顶
IC0936W0050	你 的 心 曾 经	你的心曾经
IC0936W0051	心 痛	心痛
IC0936W0052	音 乐	音乐
IC0936W0053	林 俊 杰	林俊杰
IC0936W0054	播 放 潘 玮 柏 的 歌	播放潘玮柏的歌
IC0936W0055	下 一 站 再 爱 你	下一站再爱你
IC0936W0056	不 管 了	不管了
IC0936W0057	等 等 我	等等我
IC0936W0058	你 的 背 包	你的背包
IC0936W0059	姑 娘 我 爱 你	姑娘我爱你
IC0936W0060	我 好 喜 欢 你	我好喜欢你
IC0936W0061	领 悟	领悟
IC0936W0062	张 学 友 的 歌 曲	张学友的歌曲
IC0936W0063	结 束	结束
IC0936W0064	我 是 不 是 你 最 疼 爱 的 人	我是不是你最疼爱的人
IC0936W0065	帝 国 的 陷 落	帝国的陷落
IC0936W0066	刘 德 华 音 乐	刘德华音乐
IC0936W0067	男 人 的 好	男人的好
IC0936W0068	勇 敢 一 点	勇敢一点
IC0936W0069	半 城 烟 沙	半城烟沙
IC0936W0070	神 往	神往
IC0936W0071	我 是 不 是 该 安 静 地 走 开	我是不是该安静的走开
IC0936W0072	哭 杀	哭砂
IC0936W0073	我 爱 你 吗	我爱你吗
IC0936W0074	来 一 首 郑 源 的 歌	来一首郑源的歌
IC0936W0075	到 不 了	到不了
IC0936W0076	小 蝴 蝶	小蝴蝶
IC0936W0077	帮 我 点 一 首 歌	帮我点一首歌
IC0936W0078	小 沈 阳 专 辑	小沈阳专辑
IC0936W0079	一 万 个 理 由	一万个理由
IC0936W0080	不 要 连 分 手 都 骗 我	不要连分手都骗我
IC0936W0081	暗 里 着 迷	暗里着迷
IC0936W0082	四 百 七 十 六 点 九	四百七十六点九
IC0936W0083	四 百 七 十 六 点 四	四百七十六点四
IC0936W0084	四 百 七 十 七 点 二 四	四百七十七点二四
IC0936W0085	四 百 七 十 七 点 九 一	四百七十七点九一
IC0936W0086	四 百 七 十 三 点 九 一	四百七十三点九一
IC0936W0087	四 百 七 十 四 万 零 八 百 五 十 八 点 八 三	四百七十四万零八百五十八点八三
IC0936W0088	四 百 七 十 五 点 六	四百七十五点六
IC0936W0089	四 百 七 十 五 点 四 六	四百七十五点四六
IC0936W0090	四 百 七 十 五 万 八 千 三 百 四 十 二 点 三 四	四百七十五万八千三百四十二点三四
IC0936W0091	四 百 七 十 一 点 六	四百七十一点六
IC0936W0092	四 百 三 十 八 点 八	四百三十八点八
IC0936W0093	四 百 三 十 八 点 三	四百三十八点三
IC0936W0094	四 百 三 十 八 点 一	四百三十八点一
IC0936W0095	四 百 三 十 点 六	四百三十点六
IC0936W0096	四 百 三 十 点 三	四百三十点三
IC0936W0097	四 百 三 十 点 一	四百三十点一
IC0936W0098	四 百 三 十 点 一 七	四百三十点一七
IC0936W0099	四 百 三 十 二 万 五 千 四 百 八 十 九 点 二	四百三十二万五千四百八十九点二
IC0936W0100	四 百 三 十 九 点 八	四百三十九点八
IC0936W0101	四 百 三 十 六 点 三 七	四百三十六点三七
IC0936W0102	四 百 三 十 六 点 四	四百三十六点四
IC0936W0103	四 百 三 十 六 万 五 千 九 百 四 十 二 点 五 六	四百三十六万五千九百四十二点五六
IC0936W0104	四 百 三 十 七 点 九	四百三十七点九
IC0936W0105	四 百 三 十 七 万 八 千 零 五 十 二 点 九 七	四百三十七万八千零五十二点九七
IC0936W0106	四 百 三 十 七 万 二 千 一 百 六 十 一 点 一 六	四百三十七万二千一百六十一点一六
IC0936W0107	四 百 三 十 七 万 四 千 九 百 五 十 一 点 五 七	四百三十七万四千九百五十一点五七
IC0936W0108	四 百 三 十 三 点 九 七	四百三十三点九七
IC0936W0109	四 百 三 十 三 点 六	四百三十三点六
IC0936W0110	四 百 三 十 三 万 八 千 八 百 三 十 点 五 八	四百三十三万八千八百三十点五八
IC0936W0111	御 前 双 雄	御前双雄
IC0936W0112	玉 前 四 宝	御前四宝
IC0936W0113	御 用 积 院	御用鸡院
IC0936W0114	欲 用 闲 人	御用闲人
IC0936W0115	禹 东 战 役	豫东战役
IC0936W0116	鲁 东 之 战	补懂之战
IC0936W0117	鸳 鸯 错	鸳鸯错
IC0936W0118	鸳 鸯 河	鸳鸯河
IC0936W0119	冤 家 成 双 对	冤家成双对
IC0936W0120	冤 家 对 对 碰	冤家对对碰
IC0936W0121	又 要 考 虑 资 源 产 品 价 格 的 调 整 以 及 对 应 对 于 经 济 的 影 响	又要考虑资源产品价格的调整及其对应对于经济的影响
IC0936W0122	进 一 步 体 现 国 家 在 自 然 资 源 方 面 的 权 益	进一步体现国家在自然资源方面的权益
IC0936W0123	一 结 合 资 源 产 品 调 价 格 调 整 和 收 费 制 度 改 革	一结合资源产品价格调整和收费制度改革
IC0936W0124	可 以 适 时 取 消 不 适 当 的 减 税 免 税	可以适时取消不适当的减税免税
IC0936W0125	并 适 当 调 整 相 关 资 源 产 品 的 适 用 税 率 税 额 标 准	并适当调整相关资源产品的适用税率税额标准
IC0936W0126	以 利 于 节 约 资 源 和 保 护 环 境	以利于节约资源和保护环境
IC0936W0127	调 节 资 源 开 采 企 业 的 资 源 基 差 收 入	调节资源开采企业的资源级差收入
IC0936W0128	可 以 改 从 良 定 额 征 税 为 从 定 价 率 征 率	可以改从量定额征税为从价定帅征率
IC0936W0129	以 保 证 税 负 的 均 衡 和 财 政 收 入 的 稳 定	以保证税负的均衡和财政收入的稳定
IC0936W0130	可 以 参 考 某 些 国 家 的 做 法	可以参考某些国家的做法
IC0936W0131	对 资 源 开 采 企 业 实 行 特 殊 的 企 业 所 得 税 税 率	对资源开采企业实行特殊的企业所得税税率
IC0936W0132	避 免 不 必 要 的 交 叉 和 矛 盾	避免不必要的交叉和矛盾
IC0936W0133	二 已 经 过 去 一 大 半	二已经过去一大半
IC0936W0134	虽 然 现 在 人 们 仍 在 忍 受 桑 拿 天 的 考 验	虽然现在人们仍在忍受桑拿天的考验
IC0936W0135	但 是 几 场 大 雨 也 让 人 们 有 了 个 盼 头	但是几场大雨也让人们有了个盼头
IC0936W0136	希 望 雨 后 是 个 清 澈 透 亮 的 凉 爽 天	希望雨后是个清澈透亮的凉爽天
IC0936W0137	中 国 的 房 地 产 就 已 经 开 始 迸 发 出 新 的 活 力	中国的房地产就已经开始迸发出新的活力
IC0936W0138	相 关 公 司 股 票 走 势 万 科 a	相关公司股票走势万科A
IC0936W0139	过 去 粗 放 式 发 展 的 势 头 被 扼 住	过去粗放式发展的势头被扼住
IC0936W0140	新 的 市 场 格 局 正 在 逐 渐 形 成	新的市场格局正在逐渐形成
IC0936W0141	而 这 一 切 在 二 表 现 得 尤 为 突 出	而这一切在二表现得尤为突出
IC0936W0142	有 哪 些 信 号 显 示 中 国 房 地 产 将 发 生 新 的 变 化 呢	有哪些信号显示中国房地产将发生新的变化呢
IC0936W0143	不 妨 顺 着 我 们 的 解 读 来 判 断 未 来 市 场 的 新 走 向	不妨顺着我们的解读来判断未来市场的新走向
IC0936W0144	一 直 以 行 政 为 主 导 的 房 地 产 调 控 退 出 舞 台	一直以行政为主导的房地产调控退出舞台
IC0936W0145	房 地 产 宏 观 宏 观 调 整 大 概 持 续 了	房地产红光宏观调整大概持续了
IC0936W0146	甚 至 出 现 越 调 越 涨 的 怪 象	甚至出现越调越张的怪象
IC0936W0147	宏 观 调 控 陷 入 舆 论 漩 涡 中	宏观调控陷入舆论漩涡中
IC0936W0148	虽 然 安 加 新 媒 体 从 来 不 否 认 宏 观 调 控 的 客 观 必 要 性	虽然安家新媒体从来不否认宏观调控的客观必要性
IC0936W0149	过 分 将 幕 后 的 手 伸 到 前 台 就 有 点 不 应 该 了	过分将幕后的手伸到前台就有点不应该了
IC0936W0150	新 一 届 政 府 自 上 台 以 来	新一届政府自上台以来
IC0936W0151	一 改 以 往 动 不 动 就 干 预 市 场 的 理 念	一改以往动不动就干预市场的理念
IC0936W0152	虽 然 坚 持 调 控 的 大 环 境 不 动	虽然坚持调控的大环境不动
IC0936W0153	这 种 观 念 已 经 在 过 去 有 所 崭 露 头 角	这种观念已经在过去有所崭露头角
IC0936W0154	在 今 会 体 现 得 更 加 明 显	在今会体现得更加明显
IC0936W0155	分 类 调 控 也 是 对 新 变 化 的 最 好 诠 释	分类调控也是对新变化的最好诠释
IC0936W0156	基 本 上 没 有 行 政 干 预 过	基本上没有行政干预过
IC0936W0157	只 是 通 过 市 场 手 段 来 调 节	只是通过市场手段来调节
IC0936W0158	这 种 新 变 化 也 意 味 着 从 管 理 层 面 正 步 入 成 熟 化	这种新变化也意味着从管理层面正步入成熟化
IC0936W0159	房 地 产 基 本 宣 告 结 束	房地产基本宣告结束
IC0936W0160	从 顶 层 设 计 不 难 看 出	从顶层设计不难看出
IC0936W0161	虽 然 未 来 房 地 产 支 柱 性 地 位 没 有 变	虽然未来房地产支柱性地位没变
IC0936W0162	但 是 房 地 产 快 速 发 展 的 时 期 已 经 过 去	但是房地产快速发展的时期已经过去
